1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
251: A=Collins, Wilkie | B=Jezebel's Daughter | C=ADOLESCENCE (ages 12–16) | D=3.0
252: A=Collins, Wilkie | B=The Law and the Lady | C=ADOLESCENCE (ages 12–16) | D=3.0
253: A=Collins, Wilkie | B=The Legacy of Cain | C=ADOLESCENCE (ages 12–16) | D=3.0
254: A=Collins, Wilkie | B=Man and Wife | C=ADOLESCENCE (ages 12–16) | D=3.0
255: A=Collins, Wilkie | B=Miss or Mrs.? | C=ADOLESCENCE (ages 12–16) | D=3.0
256: A=Collins, Wilkie | B=Miss Bertha and the Yankee | C=ADOLESCENCE (ages 12–16) | D=3.0
257: A=Collins, Wilkie | B=Miss Dulane and My Lord | C=ADOLESCENCE (ages 12–16) | D=3.0
258: A=Collins, Wilkie | B=Miss Jeromette and the Clergyman | C=ADOLESCENCE (ages 12–16) | D=3.0
259: A=Collins, Wilkie | B=Miss Bertha and the Groom | C=ADOLESCENCE (ages 12–16) | D=3.0
260: A=Collins, Wilkie | B=Miss Morris and the Stranger | C=ADOLESCENCE (ages 12–16) | D=3.0
261: A=Collins, Wilkie | B=The Moonstone | C=ADOLESCENCE (ages 12–16) | D=3.0
262: A=Collins, Wilkie | B=Mr. Captain and the Nymph | C=ADOLESCENCE (ages 12–16) | D=3.0
263: A=Collins, Wilkie | B=Mr. Conway and the Landlady | C=ADOLESCENCE (ages 12–16) | D=3.0
264: A=Collins, Wilkie | B=Mr. Lepel and the Housekeeper | C=ADOLESCENCE (ages 12–16) | D=3.0
265: A=Collins, Wilkie | B=Mr. Lisimore and the Widow | C=ADOLESCENCE (ages 12–16) | D=3.0
266: A=Collins, Wilkie | B=Mr. Marmaduke and the Minister | C=ADOLESCENCE (ages 12–16) | D=3.0
267: A=Collins, Wilkie | B=Mr. Medhurst and the Princess | C=ADOLESCENCE (ages 12–16) | D=3.0
268: A=Collins, Wilkie | B=Mr. Percy and the Prophet | C=ADOLESCENCE (ages 12–16) | D=3.0
269: A=Collins, Wilkie | B=Mrs. Zant and the Ghost | C=ADOLESCENCE (ages 12–16) | D=3.0
270: A=Collins, Wilkie | B=My Lady's Money | C=ADOLESCENCE (ages 12–16) | D=3.0
271: A=Collins, Wilkie | B=My Miscellanies | C=ADOLESCENCE (ages 12–16) | D=3.0
272: A=Collins, Wilkie | B=The New Magdalen | C=ADOLESCENCE (ages 12–16) | D=3.0
273: A=Collins, Wilkie | B=No Name | C=ADOLESCENCE (ages 12–16) | D=3.0
274: A=Collins, Wilkie | B=Poor Miss Finch | C=ADOLESCENCE (ages 12–16) | D=3.0
275: A=Collins, Wilkie | B=The Queen of Hearts | C=ADOLESCENCE (ages 12–16) | D=3.0
276: A=Collins, Wilkie | B=A Rogue's Life from his Birth to his Marriage | C=ADOLESCENCE (ages 12–16) | D=3.0
277: A=Collins, Wilkie | B=The Two Destinies | C=ADOLESCENCE (ages 12–16) | D=3.0
278: A=Collins, Wilkie | B=The Woman in White | C=ADOLESCENCE (ages 12–16) | D=3.0
279: A=Dampier, William | B=A Voyage Round the World | C=ADOLESCENCE (ages 12–16) | D=3.0
280: A=Daudet, Alphonse | B=Fromont Jeune | C=ADOLESCENCE (ages 12–16) | D=3.0
281: A=Daudet, Alphonse | B=Tartarin | C=ADOLESCENCE (ages 12–16) | D=3.0
282: A=Dickens, Charles | B=Barnaby Rudge | C=ADOLESCENCE (ages 12–16) | D=3.0
283: A=Dickens, Charles | B=Nicholas Nickleby | C=ADOLESCENCE (ages 12–16) | D=3.0
284: A=Dickens, Charles | B=The Old Curiosity Shop | C=ADOLESCENCE (ages 12–16) | D=3.0
285: A=Doyle, Sir Arthur Conan | B=The Lost World | C=ADOLESCENCE (ages 12–16) | D=3.0
286: A=Doyle, Sir Arthur Conan | B=Sherlock Holmes (series) | C=ADOLESCENCE (ages 12–16) | D=3.0
287: A=Doyle, Sir Arthur Conan | B=White Company | C=ADOLESCENCE (ages 12–16) | D=3.0
288: A=Du Maurier, George | B=Trilby | C=ADOLESCENCE (ages 12–16) | D=3.0
289: A=Dumas, Alexandre | B=The Black Tulip | C=ADOLESCENCE (ages 12–16) | D=3.0
290: A=Dumas, Alexandre | B=Three Musketeers | C=ADOLESCENCE (ages 12–16) | D=3.0
291: A=Dumas, Alexandre | B=Twenty Years After | C=ADOLESCENCE (ages 12–16) | D=3.0
292: A=Dumas, Alexandre | B=The Whites and The Blues | C=ADOLESCENCE (ages 12–16) | D=3.0
293: A=Eggleston, Edward | B=Brant and Red Jacket | C=ADOLESCENCE (ages 12–16) | D=3.0
294: A=Eggleston, Edward | B=The Circuit Rider | C=ADOLESCENCE (ages 12–16) | D=3.0
295: A=Eggleston, Edward | B=Duffels | C=ADOLESCENCE (ages 12–16) | D=3.0
296: A=Eggleston, Edward | B=The Graysons | C=ADOLESCENCE (ages 12–16) | D=3.0
297: A=Eggleston, Edward | B=The Hoosier School-Boy | C=ADOLESCENCE (ages 12–16) | D=3.0
298: A=Eggleston, Edward | B=The Hoosier Schoolmaster | C=ADOLESCENCE (ages 12–16) | D=3.0
299: A=Eliot, George | B=Adam Bede | C=ADOLESCENCE (ages 12–16) | D=3.0
300: A=Eliot, George | B=Middlemarch | C=ADOLESCENCE (ages 12–16) | D=3.0
301: A=Eliot, George | B=Mill on the Floss | C=ADOLESCENCE (ages 12–16) | D=3.0
302: A=Eliot, George | B=Romola | C=ADOLESCENCE (ages 12–16) | D=3.0
303: A=Eliot, George | B=Silas Marner | C=ADOLESCENCE (ages 12–16) | D=3.0
304: A=Fabre, Henri | B=selections from Souvenirs Entomologiques | C=ADOLESCENCE (ages 12–16) | D=3.0
305: A=Gray, Zane | B=The Call of the Canyon | C=ADOLESCENCE (ages 12–16) | D=3.0
306: A=Gray, Zane | B=Desert Gold | C=ADOLESCENCE (ages 12–16) | D=3.0
307: A=Gray, Zane | B=The Desert of Wheat | C=ADOLESCENCE (ages 12–16) | D=3.0
308: A=Gray, Zane | B=Fighting Caravans | C=ADOLESCENCE (ages 12–16) | D=3.0
309: A=Gray, Zane | B=The Last of the Plainsmen | C=ADOLESCENCE (ages 12–16) | D=3.0
310: A=Gray, Zane | B=The Last Trail | C=ADOLESCENCE (ages 12–16) | D=3.0
311: A=Gray, Zane | B=Nevada | C=ADOLESCENCE (ages 12–16) | D=3.0
312: A=Gray, Zane | B=Riders of the Purple Sage | C=ADOLESCENCE (ages 12–16) | D=3.0
313: A=Haggard, H. Rider (Henry Rider) | B=Allan and the Holy Flower | C=ADOLESCENCE (ages 12–16) | D=3.0
314: A=Haggard, H. Rider | B=Allan and the Ice-Gods | C=ADOLESCENCE (ages 12–16) | D=3.0
315: A=Haggard, H. Rider | B=Allan's Wife, and Other Tales | C=ADOLESCENCE (ages 12–16) | D=3.0
316: A=Haggard, H. Rider | B=Allan Quatermain | C=ADOLESCENCE (ages 12–16) | D=3.0
317: A=Haggard, H. Rider | B=Ayesha | C=ADOLESCENCE (ages 12–16) | D=3.0
318: A=Haggard, H. Rider | B=Child of the Storm | C=ADOLESCENCE (ages 12–16) | D=3.0
319: A=Haggard, H. Rider | B=Colonel Quartich, V.C. | C=ADOLESCENCE (ages 12–16) | D=3.0
320: A=Haggard, H. Rider | B=Dr. Therne | C=ADOLESCENCE (ages 12–16) | D=3.0
321: A=Haggard, H. Rider | B=Joan Haste | C=ADOLESCENCE (ages 12–16) | D=3.0
322: A=Haggard, H. Rider | B=King Solomon's Mines | C=ADOLESCENCE (ages 12–16) | D=3.0
323: A=Haggard, H. Rider | B=Montezuma's Daughter | C=ADOLESCENCE (ages 12–16) | D=3.0
324: A=Haggard, H. Rider | B=The People of the Mist | C=ADOLESCENCE (ages 12–16) | D=3.0
325: A=Haggard, H. Rider | B=She | C=ADOLESCENCE (ages 12–16) | D=3.0
326: A=Haggard, H. Rider | B=Treasure of the Lake | C=ADOLESCENCE (ages 12–16) | D=3.0
327: A=Hughes, Thomas | B=Tom Brown's School Days | C=ADOLESCENCE (ages 12–16) | D=3.0
328: A=Hughes, Thomas | B=Tom Brown at Oxford | C=ADOLESCENCE (ages 12–16) | D=3.0
329: A=Hugo, Victor | B=Les Misérables | C=ADOLESCENCE (ages 12–16) | D=3.0
330: A=Hugo, Victor | B=Hunchback of Notre Dame | C=ADOLESCENCE (ages 12–16) | D=3.0
331: A=Hugo, Victor | B=Quatre-vingt-treize | C=ADOLESCENCE (ages 12–16) | D=3.0
332: A=Ibanez, Blasco | B=Blood and Sand | C=ADOLESCENCE (ages 12–16) | D=3.0
333: A=Ibanez, Blasco | B=Four Horseman of the Apocalypse | C=ADOLESCENCE (ages 12–16) | D=3.0
334: A=Irving, Washington | B=The Alhambra | C=ADOLESCENCE (ages 12–16) | D=3.0
335: A=Irving, Washington | B=Tales | C=ADOLESCENCE (ages 12–16) | D=3.0
336: A=Kingsley, Charles | B=Hereward the Wake | C=ADOLESCENCE (ages 12–16) | D=3.0
337: A=Le Sage, Alain | B=Gil Blas | C=ADOLESCENCE (ages 12–16) | D=3.0
338: A=MacDonald, George | B=Lilith | C=ADOLESCENCE (ages 12–16) | D=3.0
339: A=Park, Mungo | B=Travels in Africa | C=ADOLESCENCE (ages 12–16) | D=3.0
340: A=Parkman, Francis | B=Oregon Trail | C=ADOLESCENCE (ages 12–16) | D=3.0
341: A=Poe, Edgar Allen | B=Tales and poems | C=ADOLESCENCE (ages 12–16) | D=3.0
342: A=Polo, Marco | B=Travels | C=ADOLESCENCE (ages 12–16) | D=3.0
343: A=Reade, Charles | B=The Cloister and the Hearth | C=ADOLESCENCE (ages 12–16) | D=3.0
344: A=Rhodes, Eugene | B=Best Novels, and Stories (edited by Dobie) | C=ADOLESCENCE (ages 12–16) | D=3.0
345: A=Scott, Sir Walter | B=Ivanhoe | C=ADOLESCENCE (ages 12–16) | D=3.0
346: A=Scott, Sir Walter | B=Kenilworth | C=ADOLESCENCE (ages 12–16) | D=3.0
347: A=Scott, Sir Walter | B=Rob Roy | C=ADOLESCENCE (ages 12–16) | D=3.0
348: A=Scott, Sir Walter | B=The Talisman | C=ADOLESCENCE (ages 12–16) | D=3.0
349: A=Shakespeare, William | B=Merchant of Venice | C=ADOLESCENCE (ages 12–16) | D=3.0
350: A=Shakespeare, William | B=Midsummer Night's Dream | C=ADOLESCENCE (ages 12–16) | D=3.0
351: A=Shakespeare, William | B=Romeo and Juliet | C=ADOLESCENCE (ages 12–16) | D=3.0
352: A=Shelley, Mary | B=Frankenstein | C=ADOLESCENCE (ages 12–16) | D=3.0
353: A=Sienkiewicz, Henryk | B=With Fire and Sword | C=ADOLESCENCE (ages 12–16) | D=3.0
354: A=Sienkiewicz, Henryk | B=Quo Vadis | C=ADOLESCENCE (ages 12–16) | D=3.0
355: A=Stevenson, Robert Louis | B=The Master of Ballantrae | C=ADOLESCENCE (ages 12–16) | D=3.0
356: A=Stevenson, Robert Louis | B=Prince Otto | C=ADOLESCENCE (ages 12–16) | D=3.0
357: A=Stevenson, Robert Louis | B=The Strange Case of Dr. Jekyll and Mr. Hyde | C=ADOLESCENCE (ages 12–16) | D=3.0
358: A=Swift, Jonathan | B=Gulliver's Travels | C=ADOLESCENCE (ages 12–16) | D=3.0
359: A=Wallace, Edgar | B=Sanders of the River | C=ADOLESCENCE (ages 12–16) | D=3.0
360: A=Wallace, Edgar | B=Again Sanders | C=ADOLESCENCE (ages 12–16) | D=3.0
361: A=Wallace, Edgar | B=Bones (Further Adventures in Mr. Commissioner Sanders' Country) | C=ADOLESCENCE (ages 12–16) | D=3.0
362: A=Wallace, Edgar | B=Bosambo of the River | C=ADOLESCENCE (ages 12–16) | D=3.0
363: A=Wallace, Edgar | B=Diana of Kara-Kara | C=ADOLESCENCE (ages 12–16) | D=3.0
364: A=Wallace, Edgar | B=The Double | C=ADOLESCENCE (ages 12–16) | D=3.0
365: A=Wallace, Edgar | B=Four Just Men | C=ADOLESCENCE (ages 12–16) | D=3.0
366: A=Wallace, Edgar | B=The Girl from Scotland Yard | C=ADOLESCENCE (ages 12–16) | D=3.0
367: A=Wallace, Edgar | B=The Man Who Knew | C=ADOLESCENCE (ages 12–16) | D=3.0
368: A=Wallace, Edgar | B=The People of the River | C=ADOLESCENCE (ages 12–16) | D=3.0
369: A=Wallace, Edgar | B=The Sinister Man | C=ADOLESCENCE (ages 12–16) | D=3.0
370: A=Wells, H.G. | B=The First Men in the Moon | C=ADOLESCENCE (ages 12–16) | D=3.0
371: A=Wells, H.G. | B=The Food of the Gods | C=ADOLESCENCE (ages 12–16) | D=3.0
372: A=Wells, H.G. | B=In the Days of the Comet | C=ADOLESCENCE (ages 12–16) | D=3.0
373: A=Wells, H.G. | B=The Invisible Man | C=ADOLESCENCE (ages 12–16) | D=3.0
374: A=Wells, H.G. | B=The Island of Dr. Moreau | C=ADOLESCENCE (ages 12–16) | D=3.0
375: A=Wells, H.G. | B=The Time Machine | C=ADOLESCENCE (ages 12–16) | D=3.0
376: A=Wells, H.G. | B=The War of the Worlds | C=ADOLESCENCE (ages 12–16) | D=3.0
377: A=Wister, Owen | B=The Dragon of Wantley | C=ADOLESCENCE (ages 12–16) | D=3.0
378: A=Wister, Owen | B=The Jimmyjohn Boss and Other Stories | C=ADOLESCENCE (ages 12–16) | D=3.0
379: A=Wister, Owen | B=Lady Baltimore | C=ADOLESCENCE (ages 12–16) | D=3.0
380: A=Wister, Owen | B=Lin McLean | C=ADOLESCENCE (ages 12–16) | D=3.0
381: A=Wister, Owen | B=Members of the Family | C=ADOLESCENCE (ages 12–16) | D=3.0
382: A=Wister, Owen | B=The Virginian | C=ADOLESCENCE (ages 12–16) | D=3.0
383: A=Andersen, Hans Christian | B=The Fairy Tale of My Life: An Autobiography | C=YOUTH (ages 16–20) | D=4.0
384: A=Austen, Jane | B=Emma | C=YOUTH (ages 16–20) | D=4.0
385: A=Austen, Jane | B=Lady Susan | C=YOUTH (ages 16–20) | D=4.0
386: A=Austen, Jane | B=Mansfield Park | C=YOUTH (ages 16–20) | D=4.0
387: A=Austen, Jane | B=Northanger Abbey | C=YOUTH (ages 16–20) | D=4.0
388: A=Austen, Jane | B=Pride and Prejudice | C=YOUTH (ages 16–20) | D=4.0
389: A=Austen, Jane | B=Persuasion | C=YOUTH (ages 16–20) | D=4.0
390: A=Austen, Jane | B=Sense and Sensibility | C=YOUTH (ages 16–20) | D=4.0
391: A=Austen, Jane | B=The Watsons | C=YOUTH (ages 16–20) | D=4.0
392: A=Balzac, Honoré de | B=The Cabinet of Antiquities | C=YOUTH (ages 16–20) | D=4.0
393: A=Balzac, Honoré de | B=Père Goriot | C=YOUTH (ages 16–20) | D=4.0
394: A=Balzac, Honoré de | B=Ursule Mirouet, and Other Stories | C=YOUTH (ages 16–20) | D=4.0
395: A=Bellamy, Edward | B=The Blindman's World and Other Stories | C=YOUTH (ages 16–20) | D=4.0
396: A=Bellamy, Edward | B=The Duke of Stockbridge | C=YOUTH (ages 16–20) | D=4.0
397: A=Bellamy, Edward | B=Looking Backward | C=YOUTH (ages 16–20) | D=4.0
398: A=Bellamy, Edward | B=Equality (A Sequel to Looking Backward) | C=YOUTH (ages 16–20) | D=4.0
399: A=Belloc, Hilaire | B=The Cruise of the "Nona" — and many others | C=YOUTH (ages 16–20) | D=4.0
400: A=Bernanos, Georges | B=Diary of a Country Priest | C=YOUTH (ages 16–20) | D=4.0
401: A=Bernanos, Georges | B=A Diary of my Times | C=YOUTH (ages 16–20) | D=4.0
402: A=Bernanos, Georges | B=The Fearless Heart | C=YOUTH (ages 16–20) | D=4.0
403: A=Bernanos, Georges | B=Joy | C=YOUTH (ages 16–20) | D=4.0
404: A=Bernanos, Georges | B=Last Essays | C=YOUTH (ages 16–20) | D=4.0
405: A=Blackmore, Richard Dodridge | B=Cripps the Carrier | C=YOUTH (ages 16–20) | D=4.0
406: A=Blackmore, Richard Dodridge | B=Lorna Doone | C=YOUTH (ages 16–20) | D=4.0
407: A=Blackmore, Richard Dodridge | B=A Tale of the South Downs | C=YOUTH (ages 16–20) | D=4.0
408: A=Borrow, George | B=The Bible in Spain | C=YOUTH (ages 16–20) | D=4.0
409: A=Borrow, George | B=Lavengro | C=YOUTH (ages 16–20) | D=4.0
410: A=Borrow, George | B=Romany Rye (A sequel to Lavengro) | C=YOUTH (ages 16–20) | D=4.0
411: A=Brontë, Charlotte | B=Jane Eyre | C=YOUTH (ages 16–20) | D=4.0
412: A=Buchanan, John | B=A Book of Escapes and Hurried Journeys (A Collection of Stories) | C=YOUTH (ages 16–20) | D=4.0
413: A=Buchanan, John | B=Castle Gay | C=YOUTH (ages 16–20) | D=4.0
414: A=Buchanan, John | B=The Courts of the Morning | C=YOUTH (ages 16–20) | D=4.0
415: A=Buchanan, John | B=The Free Fishers | C=YOUTH (ages 16–20) | D=4.0
416: A=Buchanan, John | B=The Gap in the Curtain | C=YOUTH (ages 16–20) | D=4.0
417: A=Buchanan, John | B=Greenmantle | C=YOUTH (ages 16–20) | D=4.0
418: A=Buchanan, John | B=The House of the Four Winds | C=YOUTH (ages 16–20) | D=4.0
419: A=Buchanan, John | B=Huntingtower | C=YOUTH (ages 16–20) | D=4.0
420: A=Buchanan, John | B=Jim MacNab | C=YOUTH (ages 16–20) | D=4.0
421: A=Buchanan, John | B=A Lodge in the Wilderness | C=YOUTH (ages 16–20) | D=4.0
422: A=Buchanan, John | B=Midwinter | C=YOUTH (ages 16–20) | D=4.0
423: A=Buchanan, John | B=Mr. Standfast | C=YOUTH (ages 16–20) | D=4.0
424: A=Buchanan, John | B=The Three Hostages | C=YOUTH (ages 16–20) | D=4.0
425: A=Buchanan, John | B=The Thirty-Nine Steps | C=YOUTH (ages 16–20) | D=4.0
426: A=Butler, Samuel | B=Erewhon | C=YOUTH (ages 16–20) | D=4.0
427: A=Butler, Samuel | B=The Way of All Flesh | C=YOUTH (ages 16–20) | D=4.0
428: A=Cabell, James Branch | B=Chivalry | C=YOUTH (ages 16–20) | D=4.0
429: A=Cabell, James Branch | B=Gallantry | C=YOUTH (ages 16–20) | D=4.0
430: A=Cabell, James Branch | B=Jurgen | C=YOUTH (ages 16–20) | D=4.0
431: A=Cabell, James Branch | B=The Silver Stallion | C=YOUTH (ages 16–20) | D=4.0
432: A=Cable, George Washington | B=The Cavalier | C=YOUTH (ages 16–20) | D=4.0
433: A=Cable, George Washington | B=Old Creole Days | C=YOUTH (ages 16–20) | D=4.0
434: A=Cable, George Washington | B=Kincaid's Battery | C=YOUTH (ages 16–20) | D=4.0
435: A=Cather, Willa | B=Death Comes for the Archbishop | C=YOUTH (ages 16–20) | D=4.0
436: A=Cather, Willa | B=My Antonia | C=YOUTH (ages 16–20) | D=4.0
437: A=Cather, Willa | B=Shadows on the Rock | C=YOUTH (ages 16–20) | D=4.0
438: A=Chekhov, Anton | B=Stories and Plays | C=YOUTH (ages 16–20) | D=4.0
439: A=Chesterton, G.K. | B=Everlasting Man | C=YOUTH (ages 16–20) | D=4.0
440: A=Chesterton, G.K. | B=Father Brown series | C=YOUTH (ages 16–20) | D=4.0
441: A=Chesterton, G.K. | B=A Man Called Thursday | C=YOUTH (ages 16–20) | D=4.0
442: A=Columbus, Christopher | B=Four Voyages to the New World | C=YOUTH (ages 16–20) | D=4.0
443: A=Conrad, Joseph | B=Almayer's Folly | C=YOUTH (ages 16–20) | D=4.0
444: A=Conrad, Joseph | B=An Outcast of the Islands | C=YOUTH (ages 16–20) | D=4.0
445: A=Conrad, Joseph | B=The Arrow of Gold | C=YOUTH (ages 16–20) | D=4.0
446: A=Conrad, Joseph | B=Lord Jim | C=YOUTH (ages 16–20) | D=4.0
447: A=Conrad, Joseph | B=The Nigger of the "Narcissus" | C=YOUTH (ages 16–20) | D=4.0
448: A=Conrad, Joseph | B=Nostromo | C=YOUTH (ages 16–20) | D=4.0
449: A=Conrad, Joseph | B=The Rescue | C=YOUTH (ages 16–20) | D=4.0
450: A=Conrad, Joseph | B=A Set of Six | C=YOUTH (ages 16–20) | D=4.0
451: A=Conrad, Joseph | B=Twixt Land and Sea | C=YOUTH (ages 16–20) | D=4.0
452: A=Conrad, Joseph | B=Typhoon | C=YOUTH (ages 16–20) | D=4.0
453: A=Conrad, Joseph | B=Victory | C=YOUTH (ages 16–20) | D=4.0
454: A=Cook, James | B=Captain Cook's Explorations | C=YOUTH (ages 16–20) | D=4.0
455: A=DeMaupassant, Guy | B=Stories | C=YOUTH (ages 16–20) | D=4.0
456: A=Dickens, Charles | B=Bleak House | C=YOUTH (ages 16–20) | D=4.0
457: A=Dickens, Charles | B=Martin Chuzzlewit | C=YOUTH (ages 16–20) | D=4.0
458: A=Dickens, Charles | B=Our Mutual Friend | C=YOUTH (ages 16–20) | D=4.0
459: A=Dostoyevsky, Feodor | B=Brothers Karamazov | C=YOUTH (ages 16–20) | D=4.0
460: A=Dostoyevsky, Feodor | B=Crime and Punishment | C=YOUTH (ages 16–20) | D=4.0
461: A=Doughty, Charles | B=Travels in Arabian Deserts | C=YOUTH (ages 16–20) | D=4.0
462: A=Fielding, Henry | B=Jonathan Wilde | C=YOUTH (ages 16–20) | D=4.0
463: A=Fielding, Henry | B=Tom Jones | C=YOUTH (ages 16–20) | D=4.0
464: A=Hakluyt, Richard | B=Voyages to the New World | C=YOUTH (ages 16–20) | D=4.0
465: A=Hawkins, Anthony Hope | B=Captain Dieppe | C=YOUTH (ages 16–20) | D=4.0
466: A=Hawkins, Anthony Hope | B=A Change of Air | C=YOUTH (ages 16–20) | D=4.0
467: A=Hawkins, Anthony Hope | B=Double Harness | C=YOUTH (ages 16–20) | D=4.0
468: A=Hawkins, Anthony Hope | B=Half a Hero | C=YOUTH (ages 16–20) | D=4.0
469: A=Hawkins, Anthony Hope | B=The King's Mirror | C=YOUTH (ages 16–20) | D=4.0
470: A=Hawkins, Anthony Hope | B=A Man of Mark | C=YOUTH (ages 16–20) | D=4.0
471: A=Hawkins, Anthony Hope | B=The Prisoner of Zenda | C=YOUTH (ages 16–20) | D=4.0
472: A=Hawkins, Anthony Hope | B=Rupert of Hentzau | C=YOUTH (ages 16–20) | D=4.0
473: A=Hawkins, Anthony Hope | B=Simon Dale | C=YOUTH (ages 16–20) | D=4.0
474: A=Hawkins, Anthony Hope | B=The Secret of the Tower | C=YOUTH (ages 16–20) | D=4.0
475: A=Hawkins, Anthony Hope | B=Tristram of Blent | C=YOUTH (ages 16–20) | D=4.0
476: A=Hawthorne, Nathaniel | B=The House of Seven Gables | C=YOUTH (ages 16–20) | D=4.0
477: A=Hawthorne, Nathaniel | B=The Scarlet Letter | C=YOUTH (ages 16–20) | D=4.0
478: A=Hudson, W.H. | B=Green Mansions | C=YOUTH (ages 16–20) | D=4.0
479: A=Hudson, W.H. | B=The Purple Land | C=YOUTH (ages 16–20) | D=4.0
480: A=Irving, Washington | B=Conquest of Granada | C=YOUTH (ages 16–20) | D=4.0
481: A=Irving, Washington | B=Life of Columbus | C=YOUTH (ages 16–20) | D=4.0
482: A=Irving, Washington | B=Life of George Washington | C=YOUTH (ages 16–20) | D=4.0
483: A=Jackson, Helen Hunt | B=Ramona | C=YOUTH (ages 16–20) | D=4.0
484: A=Lagerlöf, Selma | B=Gosta Berling | C=YOUTH (ages 16–20) | D=4.0
485: A=Lagerlöf, Selma | B=Jerusalem | C=YOUTH (ages 16–20) | D=4.0
486: A=Loti, Pierre (Louis Marie Julien Viaud) | B=An Iceland Fisherman | C=YOUTH (ages 16–20) | D=4.0
487: A=Loti, Pierre | B=India (Without the English) | C=YOUTH (ages 16–20) | D=4.0
488: A=Loti, Pierre | B=On Life's By-Ways | C=YOUTH (ages 16–20) | D=4.0
489: A=Manzoni, Alessandro | B=The Betrothed | C=YOUTH (ages 16–20) | D=4.0
490: A=Melville, Herman | B=Billy Budd | C=YOUTH (ages 16–20) | D=4.0
491: A=Melville, Herman | B=Moby Dick | C=YOUTH (ages 16–20) | D=4.0
492: A=Moore, Tom | B=Lalla Rookh | C=YOUTH (ages 16–20) | D=4.0
493: A=Morris, William | B=News from Nowhere | C=YOUTH (ages 16–20) | D=4.0
494: A=Morris, William | B=The Roots of the Mountains | C=YOUTH (ages 16–20) | D=4.0
495: A=Morris, William | B=Sigurd the Volsung and the Fall of the Niblungs | C=YOUTH (ages 16–20) | D=4.0
496: A=Scott, Robert | B=Scott's Last Expedition | C=YOUTH (ages 16–20) | D=4.0
497: A=Shakespeare, William | B=As You Like It | C=YOUTH (ages 16–20) | D=4.0
498: A=Shakespeare, William | B=Hamlet | C=YOUTH (ages 16–20) | D=4.0
499: A=Shakespeare, William | B=Henry IV | C=YOUTH (ages 16–20) | D=4.0
500: A=Shakespeare, William | B=Henry V | C=YOUTH (ages 16–20) | D=4.0
501: A=Shakespeare, William | B=Macbeth | C=YOUTH (ages 16–20) | D=4.0
502: A=Shakespeare, William | B=The Sonnets | C=YOUTH (ages 16–20) | D=4.0
503: A=Shakespeare, William | B=The Taming of the Shrew | C=YOUTH (ages 16–20) | D=4.0
504: A=Shakespeare, William | B=Twelfth Night | C=YOUTH (ages 16–20) | D=4.0
505: A=Stanley, Sir Henry Morton | B=How I Found Livingstone | C=YOUTH (ages 16–20) | D=4.0
506: A=Stendhal | B=The Abbess of Castro and Other Tales | C=YOUTH (ages 16–20) | D=4.0
507: A=Stendhal | B=Armance | C=YOUTH (ages 16–20) | D=4.0
508: A=Stendhal | B=The Charterhouse of Parma | C=YOUTH (ages 16–20) | D=4.0
509: A=Stendhal | B=Lamiel | C=YOUTH (ages 16–20) | D=4.0
510: A=Stendhal | B=Lucien Leuwen | C=YOUTH (ages 16–20) | D=4.0
511: A=Stendhal | B=Italian Chronicles | C=YOUTH (ages 16–20) | D=4.0
512: A=Stendhal | B=Memories of a Tourist | C=YOUTH (ages 16–20) | D=4.0
513: A=Stendhal | B=The Red and the Black | C=YOUTH (ages 16–20) | D=4.0
514: A=Thackeray, William Makepeace | B=Adventures of Philip | C=YOUTH (ages 16–20) | D=4.0
515: A=Thackeray, William Makepeace | B=Catherine | C=YOUTH (ages 16–20) | D=4.0
516: A=Thackeray, William Makepeace | B=Denis Duval | C=YOUTH (ages 16–20) | D=4.0
517: A=Thackeray, William Makepeace | B=Eastern Sketches | C=YOUTH (ages 16–20) | D=4.0
518: A=Thackeray, William Makepeace | B=Henry Esmond | C=YOUTH (ages 16–20) | D=4.0
519: A=Thackeray, William Makepeace | B=The Four Georges | C=YOUTH (ages 16–20) | D=4.0
520: A=Thackeray, William Makepeace | B=The History of Pendennis | C=YOUTH (ages 16–20) | D=4.0
521: A=Thackeray, William Makepeace | B=The Irish Sketchbook | C=YOUTH (ages 16–20) | D=4.0
522: A=Thackeray, William Makepeace | B=The Newcomes | C=YOUTH (ages 16–20) | D=4.0
523: A=Thackeray, William Makepeace | B=The Paris Sketchbook | C=YOUTH (ages 16–20) | D=4.0
524: A=Thackeray, William Makepeace | B=Roundabout Papers | C=YOUTH (ages 16–20) | D=4.0
525: A=Thackeray, William Makepeace | B=The Second Funeral of Napoleon | C=YOUTH (ages 16–20) | D=4.0
526: A=Thackeray, William Makepeace | B=Sketches and Travels in London | C=YOUTH (ages 16–20) | D=4.0
527: A=Thackeray, William Makepeace | B=Vanity Fair | C=YOUTH (ages 16–20) | D=4.0
528: A=Thackeray, William Makepeace | B=The Virginians | C=YOUTH (ages 16–20) | D=4.0
529: A=Tolstoy, Leo | B=Anna Karenina | C=YOUTH (ages 16–20) | D=4.0
530: A=Tolstoy, Leo | B=Childhood, Boyhood, Youth | C=YOUTH (ages 16–20) | D=4.0
531: A=Tolstoy, Leo | B=The Cossacks | C=YOUTH (ages 16–20) | D=4.0
