1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
62: A=Potter, Beatrix | B=The Tale of Samuel Whiskers | C=THE NURSERY (ages 2–7) | D=1.0
63: A=Potter, Beatrix | B=The Tale of Squirrel Nutkin | C=THE NURSERY (ages 2–7) | D=1.0
64: A=Potter, Beatrix | B=The Tale of the Flopsy Bunnies | C=THE NURSERY (ages 2–7) | D=1.0
65: A=Potter, Beatrix | B=The Tale of Tom Kitten | C=THE NURSERY (ages 2–7) | D=1.0
66: A=Potter, Beatrix | B=The Tale of Two Bad Mice | C=THE NURSERY (ages 2–7) | D=1.0
67: A=Stevenson, Robert Louis | B=A Child's Garden of Verses (Scribner's) | C=THE NURSERY (ages 2–7) | D=1.0
68: A=Adams, Andy | B=Cattle Brand | C=SCHOOL DAYS (ages 7–12) | D=2.0
69: A=Adams, Andy | B=Log of a Cowboy (illustrated by N.C. Wyeth) | C=SCHOOL DAYS (ages 7–12) | D=2.0
70: A=Adams, Andy | B=The Outlet | C=SCHOOL DAYS (ages 7–12) | D=2.0
71: A=Adams, Andy | B=Why the Chisholm Trail Forks, and other tales of the cattle country | C=SCHOOL DAYS (ages 7–12) | D=2.0
72: A=Alcott, Louisa May | B=Little Women | C=SCHOOL DAYS (ages 7–12) | D=2.0
73: A=Alcott, Louisa May | B=Little Men | C=SCHOOL DAYS (ages 7–12) | D=2.0
74: A=Alcott, Louisa May | B=Jo's Boys, and how they turned out (a sequel to Little Men) | C=SCHOOL DAYS (ages 7–12) | D=2.0
75: A=Alcott, Louisa May | B=Aunt Jo's Scrap-Bag — 6 vols. | C=SCHOOL DAYS (ages 7–12) | D=2.0
76: A=Alcott, Louisa May | B=An Old Fashioned Girl | C=SCHOOL DAYS (ages 7–12) | D=2.0
77: A=Alcott, Louisa May | B=Eight Cousins; or, The Aunt-Hill | C=SCHOOL DAYS (ages 7–12) | D=2.0
78: A=Alcott, Louisa May | B=A Free Bed | C=SCHOOL DAYS (ages 7–12) | D=2.0
79: A=Alcott, Louisa May | B=Rose in Bloom (a sequel to Eight Cousins) | C=SCHOOL DAYS (ages 7–12) | D=2.0
80: A=Alcott, Louisa May | B=Flower Fables | C=SCHOOL DAYS (ages 7–12) | D=2.0
81: A=Alcott, Louisa May | B=Hospital Sketches, and Camp and Fireside Stories | C=SCHOOL DAYS (ages 7–12) | D=2.0
82: A=Alcott, Louisa May | B=Jack and Jill: a Village Story | C=SCHOOL DAYS (ages 7–12) | D=2.0
83: A=Alcott, Louisa May | B=Lulu's Library — 3 vol. collection of stories | C=SCHOOL DAYS (ages 7–12) | D=2.0
84: A=Alcott, Louisa May | B=Moods | C=SCHOOL DAYS (ages 7–12) | D=2.0
85: A=Alcott, Louisa May | B=Morning-glories, and Other Stories | C=SCHOOL DAYS (ages 7–12) | D=2.0
86: A=Alcott, Louisa May | B=On Picket Duty | C=SCHOOL DAYS (ages 7–12) | D=2.0
87: A=Alcott, Louisa May | B=Silver Pitchers and Independence, a Centennial Love Story | C=SCHOOL DAYS (ages 7–12) | D=2.0
88: A=Alcott, Louisa May | B=Spinning-Wheel Stories | C=SCHOOL DAYS (ages 7–12) | D=2.0
89: A=Alcott, Louisa May | B=Three Proverb Stories (Kitty's Class Day; Aunt Kipp; Psyche's Art) | C=SCHOOL DAYS (ages 7–12) | D=2.0
90: A=Alcott, Louisa May | B=Under the Lilacs | C=SCHOOL DAYS (ages 7–12) | D=2.0
91: A=Alcott, Louisa May | B=Work: A Story of Experience | C=SCHOOL DAYS (ages 7–12) | D=2.0
92: A=Aldrich, Thomas Bailey | B=An Old Town by the Sea | C=SCHOOL DAYS (ages 7–12) | D=2.0
93: A=Aldrich, Thomas Bailey | B=The Ballad of Baby Bell, and other poems | C=SCHOOL DAYS (ages 7–12) | D=2.0
